Name,Address,Phone,Rating,AvgCost,Popular Dishes,Location,Pizza,Fast Food,Pasta,Beverages,Desserts,Rolls,North Indian,Chinese,Momos,Street Food,Biryani,South Indian,Mithai,Wraps,Burger,Bakery,Tea,Sandwich,Mughlai,Kebab,Hyderabadi,Healthy Food,Salad,Coffee,Lucknowi,Sichuan,Continental,American,Tibetan,Maharashtrian,Andhra,Cafe,Asian,Shake,Italian,Seafood,Kerala,Ice Cream,Mexican,Juices,cuisine_tag_count,good service,Dine-in,hygiene,delivery,good food,Ambiance,Value For Money,packaging,healthy,review_tags_count,cluster_description,clusters
Pizza Hut,"17 & 18, Corner Market, Malviya Nagar, New Delhi",918929647587,3.7,800,None,South Delhi,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,Low Rating and High Cost,2
RollsKing,"Shop 2, 10/127, Malviya Nagar, New Delhi",919560101636,3.9,300,None,South Delhi,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,Low Rating and Medium Cost,5
Punjabi Angithi,"84, Ground Floor, Left Corner, Behind Hero Showroom, Shri Aurbindo Marg, Adchini, New Delhi",911149952492,4.0,200,Chilly Momo|Veg Noodles|Dal|Momos|,South Delhi,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,Low Rating and Low Cost,3
Chicago Pizza,"8-A, Hauz Khas Village, New Delhi",919540937301,3.7,700,Paneer Delight Pizza|Chicago Pizza|Pizzas|Drink|,South Delhi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,Low Rating and High Cost,2
BOX8 - Desi Meals,"F5, Ground Floor, Gautam Nagar, Gulmohar Park Road, Hauz Khas, New Delhi",918068172526,4.3,250,None,South Delhi,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,High Rating and Low Cost,1
Masala Kitchen,"92-G/1, Partap Market, Munirka, New Delhi",911126108509,3.8,350,Aloo Jeera|Deluxe Thali|Chole|Malai Chaap|Raita|Rice|,South Delhi,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,Low Rating and Medium Cost,5
Bikanervala,"Satya Marg, Yashwant Place Commercial Complex, Chanakyapuri, New Delhi",911124100219,4.2,500,Deluxe Thali|Kachori|Samosa|Sweets|Chole Bhature|Snacks|,South Delhi,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,High Rating and Medium Cost,0
Domino's Pizza,"S-27, Ground Floor, Main Market, Green Park, New Delhi",911141033574,3.8,400,None,South Delhi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,Low Rating and Medium Cost,5
Faasos - Wraps & Rolls,"Shop G-1B, K84, Ashirwad Complex, Green Park, New Delhi",917700020020,4.2,200,Chicken Wrap|Wraps|Rolls|Biryani|,South Delhi,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,High Rating and Low Cost,1
Kwality Walls Frozen Dessert and Ice Cream Shop,"House 88, Ground Floor R/S Humayunpur, Safdarjung, New Delhi",917982630466,4.3,100,None,South Delhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Rating and Low Cost,1
