Name,Address,Phone,Rating,AvgCost,Known For,Popular Dishes,Cuisine,Reviews,Location
Pizza Hut,"17 & 18, Corner Market, Malviya Nagar, New Delhi",+918929647587,3.7,800,Casual Seating Area|Prompt Service|Reasonable Prices|Ambiance|Quality|Good Food|,,Pizza|Fast Food|Pasta|Beverages|Desserts|,Dining|Delivery|Casual Seating Area|Prompt Service|Reasonable Prices|Ambiance|Quality|Good Food|,South Delhi
RollsKing,"Shop 2, 10/127, Malviya Nagar, New Delhi",+919560101636,3.9,300,Pocket Friendly|Tasty|Contactless Delivery|Best Place|Staff|Prices|,,Rolls|Fast Food|North Indian|Beverages|,Dining|Delivery|Pocket Friendly|Tasty|Contactless Delivery|Best Place|Staff|Prices|,South Delhi
Punjabi Angithi,"84, Ground Floor, Left Corner, Behind Hero Showroom, Shri Aurbindo Marg, Adchini, New Delhi",+911149952492,4.0,200,Fast Delivery Service|Cute Packaging|Food Presentation|Food Taste|Reasonable Prices|Worth the Money|,Chilly Momo|Veg Noodles|Dal|Momos|,North Indian|Chinese|Rolls|Momos|Street Food|Pasta|,Chilly Momo|Veg Noodles|Dal|Momos|Fast Delivery Service|Cute Packaging|Food Presentation|Food Taste|Reasonable Prices|Worth the Money|,South Delhi
Chicago Pizza,"8-A, Hauz Khas Village, New Delhi",+919540937301,3.7,700,Comforting Atmosphere|Spill Proof Packaging|Friendly Staff|Excellent Service|Owner|Perfect Presentation|,Paneer Delight Pizza|Chicago Pizza|Pizzas|Drink|,Pizza|Fast Food|,Dining|Delivery|Paneer Delight Pizza|Chicago Pizza|Pizzas|Drink|Comforting Atmosphere|Spill Proof Packaging|Friendly Staff|Excellent Service|Owner|Perfect Presentation|,South Delhi
BOX8 - Desi Meals,"F5, Ground Floor, Gautam Nagar, Gulmohar Park Road, Hauz Khas, New Delhi",+918068172526,4.3,250,Customizable Food|Good Taste|Elaborate Menu|Fresh Food|Good Quality|Quantity|,,North Indian|Biryani|Desserts|,Customizable Food|Good Taste|Elaborate Menu|Fresh Food|Good Quality|Quantity|,South Delhi
Masala Kitchen,"92-G/1, Partap Market, Munirka, New Delhi",+911126108509,3.8,350,Drive through|Nice Crowd|Low Price|Great Recommendations|Polite Staff|Fast Delivery|,Aloo Jeera|Deluxe Thali|Chole|Malai Chaap|Raita|Rice|,North Indian|South Indian|,Dining|Delivery|Aloo Jeera|Deluxe Thali|Chole|Malai Chaap|Raita|Rice|Drive through|Nice Crowd|Low Price|Great Recommendations|Polite Staff|Fast Delivery|,South Delhi
Bikanervala,"Satya Marg, Yashwant Place Commercial Complex, Chanakyapuri, New Delhi",+911124100219,4.2,500,Parking Space Available|Hygienic Place|Young Crowd|Good Place|Great Place|Great Food|,Deluxe Thali|Kachori|Samosa|Sweets|Chole Bhature|Snacks|,Mithai|North Indian|Chinese|Fast Food|Street Food|Desserts|Beverages|,Dining|Delivery|Deluxe Thali|Kachori|Samosa|Sweets|Chole Bhature|Snacks|Parking Space Available|Hygienic Place|Young Crowd|Good Place|Great Place|Great Food|,South Delhi
Domino's Pizza,"S-27, Ground Floor, Main Market, Green Park, New Delhi",+911141033574,3.8,400,Lip Smacking Food|Low Price|Excellent Service|Courteous Staff|Good Service|Experience|,,Pizza|Fast Food|,Dining|Delivery|Lip Smacking Food|Low Price|Excellent Service|Courteous Staff|Good Service|Experience|,South Delhi
Faasos - Wraps & Rolls,"Shop G-1B, K84, Ashirwad Complex, Green Park, New Delhi",+917700020020,4.2,200,Combo|Flavour|Good Food|Food Quality|Spicy|Prices|,Chicken Wrap|Wraps|Rolls|Biryani|,Rolls|Wraps|Fast Food|,Chicken Wrap|Wraps|Rolls|Biryani|Combo|Flavour|Good Food|Food Quality|Spicy|Prices|,South Delhi
Kwality Wall�s Frozen Dessert and Ice Cream Shop,"House 88, Ground Floor R/S Humayunpur, Safdarjung, New Delhi",+917982630466,4.3,100,,,,,South Delhi
Burger King,"Shop 102, First Floor, DLF South Square, Sarojini Nagar, New Delhi",+919899391814,4.1,400,Drive through|Servicing|Favorite Place|Prompt Service|Great Recommendations|Fast Service|,Italian Fries|Fried Cheese|Ice Cream Sundae|Burgers|,Burger|Fast Food|Street Food|,Dining|Delivery|Italian Fries|Fried Cheese|Ice Cream Sundae|Burgers|Drive through|Servicing|Favorite Place|Prompt Service|Great Recommendations|Fast Service|,South Delhi
Bakingo,"141 B, Ground Floor, Shahpur Jat, New Delhi",+919599450038,4.1,350,Awesome Service|Delivery Time|Proper Packaging|Worth the Money|Food Presentation|Timely Service|,Butterscotch Pastry|Chocolate Truffle|Pastries|Red Velvet Cake|Cakes|,Bakery|Desserts|,Butterscotch Pastry|Chocolate Truffle|Pastries|Red Velvet Cake|Cakes|Awesome Service|Delivery Time|Proper Packaging|Worth the Money|Food Presentation|Timely Service|,South Delhi
Chaayos Chai+Snacks=Relax,"Shop 1, S 23, Ground Floor, Main Market, Green Park, New Delhi",+919599598307,4.0,300,Good Food Good Quantity|Sit and Read|Cashless Payments|Staff Behaviour|Packed on Weekends|Delivery Time|,Bun Bhujia|Cheese Chilli Toast|Poha|Pav Bhaji|,Tea|Beverages|Sandwich|Fast Food|Street Food|,Dining|Delivery|Bun Bhujia|Cheese Chilli Toast|Poha|Pav Bhaji|Good Food Good Quantity|Sit and Read|Cashless Payments|Staff Behaviour|Packed on Weekends|Delivery Time|,South Delhi
Nazeer Foods,"C-5, Ground Floor, Main Market, Malviya Nagar, New Delhi",+919891747171,3.9,600,Good for Large Groups|Quality of Food|Ample Seating Area|Staff Behaviour|Food Delivery|Good Value|,Chicken Taka Tak Roll|Mutton Nahari|Firni|Afghan Chicken|Khameeri Roti|Chicken Spring Roll|,North Indian|Mughlai|Biryani|Fast Food|Beverages|Desserts|,Dining|Delivery|Chicken Taka Tak Roll|Mutton Nahari|Firni|Afghan Chicken|Khameeri Roti|Chicken Spring Roll|Good for Large Groups|Quality of Food|Ample Seating Area|Staff Behaviour|Food Delivery|Good Value|,South Delhi
Burger Singh - Big Punjabi Burgers,"Building 288, Ground Floor, Satya Niketan, Moti Bagh, New Delhi",+919891055376,4.2,150,,,Burger|Fast Food|Momos|Beverages|Desserts|,,South Delhi
The Betel Leaf Co - Originally from Bangalore,"129 A, Near Purana Shiv Mandir, Shahpur Jat, New Delhi",+916366681111,4.0,200,Paan The Healthy Indian Dessert|,,,,South Delhi
Biryani Blues,"Building 2, Ground Floor, Corner Market, Maharishi Dayanand Marg, Malviya Nagar, New Delhi",+918010801000,4.1,400,Comfortable Seating Area|Family Place|Serving Size|Packed on Weekends|Customer Service|Nice Ambience|,Chocolate Cup|Masala Paneer|Chicken Tenders|Authentic Hyderabadi Biryani|Mirchi Ka Salan|Paneer Biryani|,Biryani|Kebab|Desserts|,Dining|Delivery|Chocolate Cup|Masala Paneer|Chicken Tenders|Authentic Hyderabadi Biryani|Mirchi Ka Salan|Paneer Biryani|Comfortable Seating Area|Family Place|Serving Size|Packed on Weekends|Customer Service|Nice Ambience|,South Delhi
KFC,"Shop DSS 24, 25, 26, 27, 28, 29, Ground Floor, DLF South Square, Sarojini Nagar, New Delhi",+918042754444,3.9,400,,,Burger|Fast Food|,Dining|Delivery|,South Delhi
Biryani By Kilo,"250, Shahpur Jat, New Delhi",+919212199888,4.2,450,Delivery Person|Great Packaging|Food Presentation|Great Taste|Flavour|Amazing Taste|,Mutka Phirni|Mirch Ka Saalan|Veg Galouti Kebab|Hyderabadi Chicken|Hyderabadi Veg Biryani|Kolkata Chicken Biryani|,Biryani|Hyderabadi|North Indian|Kebab|Mughlai|Desserts|,Mutka Phirni|Mirch Ka Saalan|Veg Galouti Kebab|Hyderabadi Chicken|Hyderabadi Veg Biryani|Kolkata Chicken Biryani|Delivery Person|Great Packaging|Food Presentation|Great Taste|Flavour|Amazing Taste|,South Delhi
Subway,"C 8, SDA Market, Opposite IIT Main Gate, SDA, New Delhi",+911146232200,3.8,400,Healthy Food|Reasonable Prices|Perfect Presentation|Cute Packaging|Staff|Great Place|,Customizable submarine sandwiches and salads|,Healthy Food|Fast Food|Sandwich|Salad|Wraps|Beverages|,Dining|Delivery|Healthy Food|Reasonable Prices|Perfect Presentation|Cute Packaging|Staff|Great Place|,South Delhi
McDonald's,"109 & 110, Ground & 1st Floor, DLF South Square, Sarojini Nagar, New Delhi",+917838006400,4.2,0,Veg Pizza Mcpuff|Mc Veggie|Mcaloo Tikki Burger|Happy Meal|Peri Fries|Burgers|,Classic Burgers and Fries|,Burger|Fast Food|Beverages|Coffee|,Dining|Delivery|Veg Pizza Mcpuff|Mc Veggie|Mcaloo Tikki Burger|Happy Meal|Peri Fries|Burgers|Economical|Pocket Friendly|Great Ambiance|Polite Staff|Meals|Good Place|,South Delhi
Behrouz Biryani,"Green Park, New Delhi",+917700050050,4.2,500,Good Packaging|Packing|Portion|Flavour|Quality|Food|,Mint Raita|Briyani|Gulab Jamun|Dessert|,Biryani|Kebab|Hyderabadi|Lucknowi|,Mint Raita|Briyani|Gulab Jamun|Dessert|Good Packaging|Packing|Portion|Flavour|Quality|Food|,South Delhi
Saturn Express,"77 B, Humayunpur, Safdarjung, New Delhi",+911126715111,4.1,200,Great Recommendations|Contactless Delivery|Excellent Food|Best Food|Worth the Money|Portion Size|,Chicken Tandoori Sandwich|Panneer Butter Masala|Butter Roti|Dal Makhani|Butter Naan|Butter Chicken|,Fast Food|North Indian|Chinese|Mughlai|Street Food|Biryani|Sichuan|,Chicken Tandoori Sandwich|Panneer Butter Masala|Butter Roti|Dal Makhani|Butter Naan|Butter Chicken|Great Recommendations|Contactless Delivery|Excellent Food|Best Food|Worth the Money|Portion Size|,South Delhi
Haldiram's,"R-11, Plot 11, Block-R, Uphaar Complex, Main Market, Green Park, New Delhi",+918376846772,4.1,450,Served Quickly|Portions|Packing|Quality|Staff|Food|,,North Indian|Chinese|South Indian|Street Food|Desserts|Continental|Beverages|,Dining|Delivery|Served Quickly|Portions|Packing|Quality|Staff|Food|,South Delhi
Wendy's,"AB-9A, 2nd Floor, Safdarjung Enclave Market, Hauz Khaz, Safdarjung, New Delhi",+919152987612,4.0,200,,,Burger|Fast Food|American|Beverages|,,South Delhi
